,Character,Background,Relation,Camera Pose,HDR Description,PSNR Score,Inception Score
fashion_designer,0.4386485358079275,0.259499599908789,0.14565638586257895,0.09682725360617044,0.05936822667717934,25.52789614004187,7.794844213467074
artist,0.34894761741161345,0.24608841463923456,0.1889135591685772,0.13952670538177092,0.07652371269650757,33.13679547451793,7.941973410782109
pianist,0.3196115389466285,0.25870615045229595,0.20461708332101505,0.1365985916617016,0.0804666450402389,30.822547579506587,7.624175450266576
cyclist,0.4560024917125702,0.23616863439480462,0.1498787824064493,0.0956530908898761,0.062297016855639716,22.447881575460695,7.04513500825741
scientist,0.4000316580136617,0.24801290755470595,0.16871145808448398,0.1125300472912689,0.07071392806246876,28.83318289921858,7.375816273825851
botanist,0.4275350977977117,0.23445713780820365,0.1657760419572393,0.10695816706866024,0.06527356396739682,29.14064757713702,7.225313894931837
conservationist,0.46275896131992345,0.2475314066124459,0.140804595593363,0.09127314489645265,0.05763190023911497,26.720965355363706,7.345098643157701
technologist,0.47681911140680316,0.23449449536080164,0.13170347521081568,0.09458033119638763,0.06240258795054009,27.283093351875802,7.648132968657187
chef,0.40601926048596704,0.2290186114609242,0.16402579868833222,0.12078605188677712,0.08015028101702532,28.534496303834587,7.4856519039318
mary_life_2,0.3769039864341418,0.23757971028486885,0.17165479212999343,0.12724702196816604,0.08661449007534731,28.246045862184662,7.663094095621253
