,Character,Background,Relation,Camera Pose,HDR Description,PSNR Score,Inception Score
fashion_designer,0.37128806759913763,0.2565769707163175,0.14539544805884363,0.11025967399279275,0.08314651263256868,31.387114762035928,7.151465847342535
artist,0.36302858293056484,0.2194005419810613,0.17645268415411317,0.12943198705712955,0.07835287076110642,31.751070618885972,7.367447874353553
pianist,0.33629275560379024,0.24410571902990344,0.19329241511101528,0.12733587992067139,0.06563989984182018,28.051212759578426,7.5718804670388
cyclist,0.45625724395116174,0.2510169200599193,0.12681181902686753,0.07504414431750775,0.05753653375431895,25.198804271445454,7.272779463857742
scientist,0.39330524057149896,0.24733967557549477,0.15992261034746968,0.09962134699647623,0.06647778898477556,30.92288790512022,7.051776230766903
botanist,0.44667842884858455,0.25256206144889193,0.12543793475876253,0.08621128151814142,0.05577695509418846,28.03698197903176,6.844360128165857
conservationist,0.43688321908315014,0.23490861033399896,0.13856519057104985,0.09429338530947765,0.062016257146994276,30.107022407314624,7.299079459052332
technologist,0.46246007382869725,0.21294539788117012,0.1287001620978117,0.09168994755794604,0.07087109534380337,25.47285795131476,7.180623501645302
chef,0.3785928805669149,0.2331034647921721,0.16481790915131572,0.11760902715226015,0.07254339228384198,30.107022407314624,7.5957211254665715
mary_life_2,0.3344523986180624,0.2316575452685356,0.18116623585422836,0.13204765257736048,0.08734284012267989,30.427767235719003,6.9581673095189
