,Character,Background,Relation,Camera Pose,HDR Description,PSNR Score,Inception Score
fashion_designer,0.3941802357633907,0.25975474566221235,0.1726285775502523,0.10835641970794921,0.06508004160608227,23.24160484521405,7.561331797573209
artist,0.3343621482451756,0.24572290331125254,0.1863987962404887,0.14382220345238847,0.0896939504891634,28.676643022690833,7.088371791680007
pianist,0.37594295740127553,0.2296268403530121,0.16970613847176236,0.13421125449240207,0.09051280499746403,25.08910003159995,7.056055800311832
cyclist,0.5063480625549952,0.25230711773037917,0.11572556622947257,0.07899993701527516,0.046619304160897934,22.807560069933487,7.485584461465649
scientist,0.46356714963912954,0.23626104841629658,0.14187198964258038,0.09647259743263323,0.06182721005752682,24.148675033827462,7.56473150000995
botanist,0.45967535773913065,0.2807280400147041,0.13001971517999966,0.0805123571694518,0.04906452854629606,23.335783948631992,7.512343641075696
conservationist,0.44255496710538866,0.2539800708492597,0.156159008666873,0.09362391189982493,0.05368203738374481,26.882564115543286,7.3748803123334286
technologist,0.5238382374246916,0.20963689275085926,0.1283602418998877,0.0777181300489853,0.060446501693998754,16.551214197874756,7.647649820692871
chef,0.48595480322837825,0.21481559947133064,0.15061038869122662,0.08981162294124562,0.058807581383734944,23.890440281134868,7.46217331741565
mary_life_2,0.3786354010303815,0.23444992341101165,0.18386015432576341,0.12805849860111876,0.07499602393557628,26.44187596054448,7.192245624384976
